"M̻s";"Valor das Exp.";"% EXP RMC/SP";"Valor das Imp.";"% IMP RMC/SP";"Saldo RMC";"Saldo SP"
"Jan/22";320,66;0,0751;1204,36;0,2267;-883,7;-1041,11
"Fev/22";389,6;0,0749;1276,68;0,2235;-887,09;-507,85
"Mar/21";367,9;0,0762;1279,05;0,2101;-911,14;-1263,13
"Abr/21";376,37;0,0787;1035,19;0,1957;-658,82;-504,93
"Maio/21";453,05;0,082;1257,71;0,2197;-804,66;-202,29
"Jun/21";384,1;0,0735;1254,21;0,2232;-870,11;-390,69
"Jul/21";408,68;0,0904;1394,07;0,2358;-985,39;-1390,74
"Ago/21";447,77;0,0927;1440,67;0,2415;-992,9;-1136,84
"Set/21";459,52;0,0829;1412,22;0,2374;-952,69;-402,91
"Out/21";406,32;0,0861;1341,16;0,2419;-934,84;-826,23
"Nov/21";405,5;0,0827;1357,1;0,234;-951,6;-896,58
"Dez/21";432,41;0,0768;1210,56;0,2123;-778,15;-71,18
